Provider CCN,lat,lng
251304,34.0060916,-90.0593593
341319,35.2559271,-82.7120587
341320,36.509544,-81.1145222
491302,37.3331827,-80.7129522
493027,36.9863005,-76.3927333
371333,35.4340492,-96.3182333
441314,35.721884,-89.5653881
241356,46.0731822,-93.6624939
250079,32.9047116,-90.8850426
421301,34.1598801,-82.3830348
341323,36.0604388,-81.8892477
181321,36.819822,-84.8669728
233027,42.3498416,-83.0554583
100028,28.6308071,-80.8240872
100105,27.6583557,-80.3937643
104059,30.4869286,-84.2400632
100130,26.7242508,-80.6710563
100286,26.2139589,-81.7320293
101313,25.0061111,-80.5221394
103026,25.8899154,-80.1776886
103027,26.1726325,-80.1954912
400016,18.4291625,-66.0584745
191306,30.7834965,-91.3665175
241363,45.5850735,-95.904878
361313,40.5481674,-82.8504319
193069,32.7227885,-92.1253854
141309,40.7207946,-89.271294
501307,47.3314125,-118.6822877
41327,33.6101273,-92.0593201
154064,39.7776059,-86.2732981
514011,39.2712823,-80.3710846
453314,32.8022656,-96.8138755
414003,41.7919974,-71.3672215
14014,30.6244806,-88.1766613
244016,45.1252675,-93.3540847
450620,28.5219292,-99.8606107
131322,42.097555,-111.8733813
351326,48.3993909,-97.7442028
33028,32.2559032,-110.8829528
103038,25.57483,-80.34093
103040,30.1819692,-85.6694535
111335,31.8394772,-81.6009755
183027,39.0123384,-84.5666028
303027,43.1978076,-71.5632765
313035,40.2828741,-74.0798552
323027,35.1600316,-106.5920162
340168,34.1943217,-77.9294216
400011,57.053,-135.33
453042,32.6619355,-97.4128108
453053,33.4301739,-94.0479996
453059,30.18584,-95.45448
501331,46.7126354,-117.1698366
513027,39.3056626,-81.5343581
513028,38.4182174,-82.3381514
513030,39.65656,-79.9620576
673045,32.7784605,-96.5980986
111311,32.8042804,-81.9344009
293032,36.0010502,-115.1208693
493028,37.5855225,-77.506895
513026,37.3635519,-81.1114621
111334,32.4071132,-82.0657011
111336,34.892413,-83.393559
113029,32.893255,-83.6805496
153025,37.956144,-87.5004722
100050,25.891089,-80.3131717
114036,30.8602018,-83.2589001
171323,37.956653,-98.5956877
141341,39.3797547,-89.0843476
184006,39.049658,-84.5289955
241306,44.7747296,-94.9724885
43026,34.7444214,-92.3810554
103036,25.7469656,-80.316839
381320,46.1880935,-123.8190066
444025,35.0416253,-89.7472066
374017,36.8723445,-94.8766797
10032,33.3166476,-85.487436
111310,32.6049154,-83.7593356
443034,35.1145933,-89.7997823
521341,43.3386786,-90.3823371
670076,33.6767819,-96.6017824
241325,44.9529596,-95.7116947
261315,37.9120988,-90.5329459
521344,43.1333699,-90.7081806
501330,32.6605317,-97.4049278
141346,37.2252236,-95.7221506
51329,39.1048373,-122.9064317
260034,38.2487991,-94.342866
271343,47.6822197,-114.1624467
343026,35.201818,-80.8388168
431309,43.1821097,-99.2941225
511309,39.6422944,-78.2005251
511311,39.3333253,-78.6985312
100055,28.1323928,-82.7578905
364038,41.1610991,-80.6553216
100166,27.3019635,-82.4534904
103039,30.2906419,-81.6007605
181301,37.7061212,-83.9772659
291311,36.2145801,-116.0248884
400131,57.053,-135.33
523028,43.153335,-89.2964463
191314,32.4035751,-91.1848803
141320,39.6070763,-87.677363
201311,44.7157089,-67.4596483
360044,40.0892163,-84.6343415
131326,42.5349611,-113.7818752
151324,40.9343526,-87.1388606
171380,37.675374,-95.4724613
173032,38.9353555,-94.6446314
501321,48.7065008,-119.4400102
501325,47.9462715,-124.3926306
13300,33.5053682,-86.8058712
112012,32.4801652,-84.9847667
153028,39.8300284,-86.2772754
241338,44.4591532,-92.287246
260209,38.843494,-91.965735
673040,29.6282341,-98.4924357
161354,42.3383357,-95.4579746
241346,44.4861745,-92.9033972
251320,31.9462692,-90.984382
271323,47.4695324,-114.8917534
313030,39.4788531,-74.5395539
331309,44.337695,-75.9204656
331310,41.7326119,-74.3789828
423031,34.9898414,-81.9424849
501338,47.5145119,-121.8264657
511300,39.1440359,-80.0622951
511303,38.9229352,-81.0924804
511304,39.5586939,-81.0041568
111312,32.7498791,-81.6468071
111316,32.8893309,-84.683218
111323,32.2935651,-82.3027549
241311,44.6104755,-94.0839205
241316,47.7477803,-93.6444583
241334,44.3509731,-93.9709382
263304,38.6322162,-90.2583368
331318,43.9872757,-75.5942556
374017,36.8723445,-94.8766797
14015,31.6940865,-86.264763
141306,39.0151072,-89.7893815
141316,40.4683209,-87.6383797
230239,46.4976778,-84.3494632
241351,44.5364473,-95.1065091
194112,30.9524698,-92.17788
241367,45.8746785,-93.2912559
323032,32.3252,-106.724206
341325,36.4232211,-81.4577668
342019,35.2414858,-81.3566989
371330,34.8924103,-99.50121
423030,34.1671145,-82.1562111
440232,36.3201331,-87.689908
490129,38.8723665,-77.2245733
511319,39.295965,-77.85874
511321,38.9926405,-80.2357544
513025,40.0798837,-80.6939777
193098,29.9750123,-90.0961285
241355,44.7775923,-94.1530821
241366,45.1146851,-94.527358
313032,39.8818867,-74.918137
331305,42.2682939,-74.9164015
520107,44.0949043,-87.6764511
521334,44.3453499,-89.0758231
521346,44.761313,-88.566679
61328,37.2521429,-107.079137
241369,43.6341659,-94.1003768
521355,43.9784864,-88.941162
673025,33.1130677,-96.6762586
51301,35.1303509,-118.4487561
51315,40.7380728,-122.9395503
51317,40.6191321,-73.9901717
131327,46.728822,-117.0009008
361304,39.3486019,-83.3870976
361311,40.2576352,-80.9777783
363041,39.1448184,-84.4590241
431313,43.3478165,-97.4312619
431334,43.3702806,-99.8474932
331317,43.7958676,-75.4991891
510082,38.2925237,-80.8299953
21307,60.5411276,-145.7503229
113028,32.8910333,-84.6852835
51316,41.7193201,-122.6456943
241319,43.9917872,-95.7599368
331311,43.0442167,-74.8475148
461302,38.5751558,-109.5597751
501316,45.8197864,-120.8113923
521316,44.3644751,-91.3186449
521342,45.7535349,-91.9016417
241322,48.5946961,-93.4317001
363304,41.2117103,-81.6370968
100014,29.0202552,-80.9217533
100068,29.2436358,-81.108182
501332,46.4027069,-117.0553969
100118,29.4791792,-81.1894338
100329,28.657883,-81.2280533
110023,34.5102054,-84.9263043
140065,41.7967451,-87.8863882
140304,41.6807968,-88.0847329
271321,46.4373486,-109.8409773
331315,44.3376121,-75.4742644
400044,18.0312283,-66.5927935
400098,57.053,-135.33
431339,45.6574454,-97.05006
450272,29.852275,-97.9458821
41331,36.4086918,-94.4605455
381318,45.7048772,-121.5244749
453025,29.7093621,-95.3940422
393309,40.0071847,-75.1513111
50353,33.8384678,-118.3572436
173033,38.8099496,-94.937933
501311,47.1211977,-118.3719373
501314,37.0359172,-95.6181068
501334,47.845685,-120.0144907
181320,37.2631267,-88.2281842
183300,38.0228641,-84.472554
501336,47.2257312,-123.1140731
360141,41.1352193,-80.6581825
381313,44.297864,-120.8254003
381317,45.4565613,-123.8545494
381324,44.6378738,-121.1208502
431316,44.8720895,-98.5202246
501302,46.311727,-117.9703428
501303,46.662804,-123.812364
501304,47.0069351,-123.3919078
501308,47.9420302,-119.0081243
501310,48.1824383,-117.0492348
501319,46.5554332,-122.2799987
501327,46.8690469,-117.3758113
501339,48.2138737,-122.6845202
61323,38.0697813,-102.6104986
271325,47.5286616,-114.1069355
454141,26.1635179,-97.6721488
320060,34.0648954,-79.7617986
100043,28.0139213,-82.782912
31314,33.4065942,-110.826384
131317,47.3146852,-116.5673181
131325,43.1934744,-112.3473411
453302,32.8095238,-96.837616
501323,48.1052357,-122.7889741
54131,37.9853651,-122.0379096
100302,28.243444,-81.3036848
363308,39.1375049,-84.5011299
400106,57.053,-135.33
400123,18.2025831,-67.1402099
400128,57.053,-135.33
400130,18.2675675,-66.7013424
451370,33.5782195,-96.1667017
453048,30.0776148,-94.1377823
453092,25.9808047,-97.5105955
670121,32.843134,-97.1880244
673027,30.3123197,-97.7346683
673035,32.6541224,-97.4180682
453029,29.9938077,-95.2771782
673053,27.6884137,-97.3779799
673056,28.855896,-97.022543
673059,27.5336774,-99.4736233
673062,32.7506007,-97.787773
111306,32.3643545,-81.3201209
290042,36.1078714,-115.1229076
193094,32.4608316,-93.669771
251303,30.8455496,-89.1164714
251317,31.9690782,-89.8864325
301310,44.4876103,-71.1568452
392024,40.4170538,-79.8701228
521330,43.0216961,-91.1128784
670094,30.8574504,-96.9773578
400117,18.4726154,-66.7164601
40132,34.510017,-93.0571895
61301,37.674237,-106.3642497
61324,39.1905445,-106.8395937
63033,40.4063177,-104.9712862
241361,44.546252,-93.5744543
313027,40.2885988,-74.7344284
450803,29.8479504,-95.408471
451357,30.6511957,-97.0205273
454113,32.6281439,-97.1778611
53039,34.0591737,-118.411809
61316,37.6003442,-104.8317586
100046,28.2608164,-82.1853691
101304,30.4586994,-85.0500964
291306,38.9195628,-119.7189852
330387,40.7624998,-73.9555391
400032,57.053,-135.33
400109,57.053,-135.33
400120,18.2270082,-66.0273102
241329,46.351645,-94.7513312
