CON,Urban,Provider Type,Type of Control,FTE - Employees on Payroll,Number of Beds,Total Discharges (V + XVIII + XIX + Unknown),Cost of Charity Care,Cost of Uncompensated Care,Total Costs,Total fixed Assets,Total Long Term Liabilities,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Inpatient %,Outpatient %,Charity %,Uncompensated %
1.0,2.0,1,2,161.6,22.0,673.0,409557.0,852022.0,30884851.0,6560920.0,7218078.0,11903133.0,43065782.0,54968915.0,0.21654298615863166,0.7834570138413683,0.007450701910343327,0.007450701910343327
0.0,2.0,1,2,35.84,16.0,128.0,4148.0,80743.0,4148774.0,2785482.0,674497.0,2126606.0,3526032.0,5652638.0,0.37621478679512116,0.6237852132048789,0.0007338166710834835,0.0007338166710834835
1.0,2.0,1,2,118.92,14.0,247.0,259951.0,1167609.0,25268941.0,29632534.0,25813181.0,8209558.0,45963542.0,54173100.0,0.15154307211512724,0.8484569278848727,0.00479852546743679,0.00479852546743679
1.0,1.0,1,2,593.8,136.0,5384.0,6665532.0,8757545.0,100220194.0,37333649.0,7778797.0,257822680.0,277003962.0,534826642.0,0.4820677575744254,0.5179322424255746,0.012462976741536373,0.012462976741536373
1.0,1.0,1,4,453.54,139.0,6682.0,4393385.0,5213502.0,105249284.0,60738382.0,-68440666.0,616187528.0,411776458.0,1027963986.0,0.5994252098244228,0.40057479017557723,0.0042738705439433556,0.0042738705439433556
1.0,2.0,1,2,190.56,25.0,406.0,303122.0,1877717.0,36377935.0,15010432.0,756662.0,6436133.0,87395191.0,93831324.0,0.06859258428454021,0.9314074157154598,0.0032304990175775414,0.0032304990175775414
1.0,2.0,1,2,236.8,25.0,781.0,1001817.0,2723741.0,31983759.0,13460450.0,7084244.0,13095490.0,72350305.0,85445795.0,0.15326078948648086,0.8467392105135191,0.01172459101117849,0.01172459101117849
1.0,2.0,1,2,370.22,36.0,1882.0,460892.0,2994727.0,49169345.0,39012000.0,28656000.0,28957623.0,116732377.0,145690000.0,0.19876191227949758,0.8012380877205024,0.003163511565653099,0.003163511565653099
0.0,2.0,1,9,360.0,22.0,1454.0,710709.0,3712847.0,48989447.0,37765759.0,24382503.0,33642824.0,109762223.0,143405047.0,0.2345999998173007,0.7654000001826993,0.004955955280988123,0.004955955280988123
1.0,2.0,1,11,99.79,21.0,372.0,140858.0,1257133.0,17397004.0,11000610.0,9434009.0,6311483.0,28437313.0,34748796.0,0.1816317031531107,0.8183682968468893,0.00405360807321209,0.00405360807321209
1.0,2.0,1,11,160.9,25.0,224.0,2688012.0,3530324.0,26786802.0,5738734.0,4782815.0,9982137.0,34310359.0,44292496.0,0.22536858162159115,0.7746314183784089,0.0606877517130667,0.0606877517130667
0.0,2.0,1,13,140.68,18.0,219.0,34227.0,1125678.0,36897393.0,12329717.0,960364.0,20381439.0,41207569.0,61589008.0,0.3309265672861625,0.6690734327138375,0.0005557322826177035,0.0005557322826177035
