Provider CCN,lat,lng
10125,34.227664000000004,-87.6213444
10126,31.7963086,-85.98103329999998
10128,31.5311947,-87.89505290000002
10129,30.903945,-87.785172
10130,33.6043705,-86.3017253
10131,34.694329100000004,-86.572025
10138,32.4917057,-88.2960195
10139,33.4642365,-86.7764088
10144,30.6852336,-88.13171109999998
10146,33.7850205,-85.76314
10148,31.4308562,-86.9404773
10149,32.3760239,-86.1748584
10150,31.8290939,-86.64627
10157,34.744969,-87.675383
10158,34.5070066,-87.7297229
10164,33.1644285,-86.2555388
10168,32.507482399999994,-85.010098
10169,31.016975,-87.4788916
10173,32.8802913,-86.622606
11300,31.45631890000001,-88.2236218
11302,34.4583528,-88.14732020000002
11304,32.0937419,-88.20958879999998
11305,33.9319697,-86.49431990000002
12006,30.6967327,-88.0804373
12007,32.3670831,-86.28534920000001
12008,33.4642365,-86.7764088
12009,33.596457,-86.6676502
12010,31.2118674,-85.3623757
12011,33.6563834,-85.8230981
12012,33.204149699999995,-87.5278395
12014,34.8042607,-86.97917679999998
13025,33.4689977,-86.7880805
13028,32.319145,-86.280635
13029,34.71924370000001,-86.5799223
13030,31.223563,-85.3920933
13032,34.0071269,-85.968745
13033,32.499255100000006,-85.0455172
13300,33.5053682,-86.80587120000001
13301,30.6974479,-88.0778493
14000,33.548563699999995,-86.73043299999998
14006,34.0724023,-86.0196881
14007,33.208844,-87.5151977
14012,33.2081216,-87.5379711
14013,40.1012856,-75.38355250000002
14014,30.624480600000005,-88.1766613
14015,31.6940865,-86.264763
14016,34.1509873,-86.84611149999998
14017,30.63547860000001,-87.8952417
14018,34.753357,-86.66527959999998
20001,70.2640439,-148.3809552
20006,61.5631603,-149.25763830000002
20008,58.3290164,-134.4649167
20012,64.8313008,-147.7397981
20017,61.2106154,-149.8285244
20018,60.7772234,-161.8606099
20024,60.49376949999999,-151.078629
20026,61.1829647,-149.79996730000005
21301,61.1364781,-146.3458866
21302,60.1049748,-149.4463118
21303,57.05971949999999,-135.34667240000002
21304,56.8128691,-132.9554619
21305,56.4718022,-132.3758588
21306,57.80088370000001,-152.37564719999997
21307,60.54112760000001,-145.7503229
21308,33.2967913,-111.71376940000002
21309,59.00009420000001,-158.5355046
21310,66.8959843,-162.58668280000003
21311,55.3536571,-131.6866346
21312,71.2926476,-156.7789805
21313,59.6522868,-151.55009750000005
21314,57.05199029999999,-135.3551988
22001,61.1765643,-149.8802333
24001,61.20788829999999,-149.8335292
24002,61.18524670000001,-149.8293623
30001,33.502781899999995,-112.1707791
30002,33.4645789,-112.0575918
